# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr
MIPAS 60 -2.5 27406729.3	689950.602	2498618.66	8811570.37	1050063.48	20427492.9	2060498.7 	0.436048 	7408912.88	0.23889312 	15.7217452	122 2027329.9	1460822.52	1466537.37	1534026.46	1460901.64	2888449.71	1233300.79 	1002120.14	0.0298235727
SCIAMACHY 60 -2.5 -206135.365	-5948887.29	-596152.909	285937.011	1150066.03	4199727.92	2363825.5 	0.551444 	-23893744	-0.833041196 	6.76158082	33 1566083.12	1390900.43	1296499.19	1385494.64	1322629.38	2537617.02	1572658.69 	1431526.55	0.0452081575
reference 60 -2.5 17784305.4	-466633.919	1734396.71	6931519.6	2565203.3	16708032.7	4687651.03 	0.221262 	0.0	0.0 	7.67146317	162 2622630.07	2002700.9	1999896.8	2097128.66	1976228.14	3846180.75	1774074.74 	0.1	0.01
MIPAS 60 2.5 29732651.5	1805879.32	1592656.62	8685275.98	1043004.43	21974437	1143913.49 	0.471551 	7674642.84	0.237886502 	18.1440256	122 1946764.92	1402770.23	1408257.97	1473065.09	1402846.21	2773664.3	1184290.1 	969196.964	0.0289209291
SCIAMACHY 60 2.5 -12963.3739	-3544099.41	-1101239.23	109872.713	1803055.9	6280734.73	1870462.38 	0.429184 	-24750723.2	-0.834943501 	4.13532108	33 1831929.54	1705758.46	1396117.22	1553394.33	1580621.59	3134286.95	1903574.93 	1437369.49	0.0403260111
reference 60 2.5 19509873.2	1926151.38	1649009.1	6934428.98	3462978.92	19127936.3	3771482.27 	0.234210 	0.0	0.0 	8.25769534	162 2659547.61	2049968.31	2000878.8	2115787.95	2024388.16	3920786.82	1809127.86 	0.1	0.01
MIPAS 60 7.5 29538074.4	984211.54	4370547.09	7380450.51	1127465.7	20004893.4	532601.419 	0.427918 	7227120.57	0.229685896 	15.2093857	122 1892159.22	1363423.29	1368757.1	1431746.41	1363497.13	2695864.53	1151071.4 	936112.565	0.0288596041
SCIAMACHY 60 7.5 1059163.32	-2089991.94	-1910867.35	953773.185	1819423.88	6944134.78	1425098.86 	0.360863 	-23905091.1	-0.820100518 	3.01124665	32 1976188.91	1751352.77	1596231.48	1701073.32	1645484.47	3185854.16	1971309.83 	1417511.05	0.0371183888
reference 60 7.5 20376150.7	1237040.2	2972605.75	6087106.12	3468801.43	17699678.1	2657193.67 	0.211108 	0.0	0.0 	7.18060295	161 2564789.84	1957903.28	1951809.28	2042481.64	1923789.02	3745744.12	1734276.55 	0.1	0.01
MIPAS 60 12.5 32111042.9	4574068.6	5380704.38	6140485.86	-845252.57	22576273.5	-1417191.32 	0.459710 	7682118.99	0.245248129 	17.3007564	122 1957588.78	1410569.53	1416087.78	1481255.22	1410645.92	2789085.66	1190874.66 	1000470.46	0.0324847664
SCIAMACHY 60 12.5 732730.028	-567255.305	-596435.129	31577.6842	670180.076	4151808.89	2614081.65 	0.204878 	-24774833.7	-0.834289166 	1.41717856	33 2131600.61	1951057.74	1713739.02	1859418.53	1833066.73	3431786.64	2194547.18 	1551603.33	0.0401502609
reference 60 12.5 22222914.1	4634678.63	4934909.13	4261300.05	2020433.88	16620302.7	1952284.36 	0.182295 	0.0	0.0 	6.01923658	162 2693647.76	2077394.52	2042198.46	2144389.15	2042978.85	3923132.04	1826113.39 	0.1	0.01
MIPAS 60 17.5 32318712.5	7196707.13	3111290.93	6463735.55	-1504532.05	23804965.8	-814150.923 	0.516843 	7573490.61	0.236692095 	21.7509558	122 1955074.75	1408758.01	1414269.17	1479352.92	1408834.31	2785503.79	1189345.28 	1003147.52	0.0359343911
SCIAMACHY 60 17.5 10780.3575	2203674.4	-1474955.1	1473421.09	1016825.89	7389332.71	3338833.62 	0.370508 	-23828787.5	-0.833889239 	3.33530765	34 1952757.69	1817821.15	1502908.58	1772896.75	1698261.65	3393812.43	2199143.88 	1371401.37	0.045646515
reference 60 17.5 21075757	7986397.27	2890893.33	5421437.04	2178441.49	20797672.3	2759954.3 	0.275725 	0.0	0.0 	10.3421271	163 2608629.15	2033793.52	1982657.82	2105664.95	2004180.17	3891954.65	1800972.13 	0.1	0.01
MIPAS 60 22.5 28620306.4	9498138.23	4542886.42	4799794.67	-1205684.14	20520913.3	1247481.93 	0.609544 	7332984.57	0.248350608 	31.7425638	122 1632338.41	1176205.56	1180806.97	1235146.93	1176269.27	2325683.36	993012.66 	810193.984	0.0315127578
SCIAMACHY 60 22.5 875616.471	3965407.04	-2264559.66	1303924.87	1481409.55	10014332	942169.802 	0.403797 	-22522738.3	-0.851451551 	3.95080053	35 1883199.1	1648718.12	1511933.12	1644718.73	1609284.13	3011224.57	1835634.75 	1327492.19	0.0533377046
reference 60 22.5 18982653.8	9459056.23	3194543	4123249.19	1140285.8	19619079.8	3165825.56 	0.322566 	0.0	0.0 	13.0150036	164 2397313.05	1836680.34	1828126.66	1918963.63	1807831.95	3515889.92	1621547.69 	0.1	0.01
MIPAS 60 27.5 31688522.8	12949904.4	7283070.05	3108605.33	480691.786	17266024.5	2158992.32 	0.547236 	7080287.9	0.217518262 	24.5759686	122 2041699.2	1471176.53	1476931.88	1544899.33	1471256.21	2908922.45	1242042.18 	1008214.06	0.0344121336
SCIAMACHY 60 27.5 1126577.11	3534075.35	-1222457.3	-538781.08	1831426.78	7508126.86	895711.008 	0.377882 	-23419413.8	-0.870538008 	3.23952651	32 1937054.12	2021279.05	1593212.95	1558885.01	1629130.5	2988115.54	1923275.24 	1535580.49	0.0465412859
reference 60 27.5 22887829	14281229.5	7762882.9	2245626.76	3406015.83	14445602.6	4245038.05 	0.361699 	0.0	0.0 	15.205335	161 2613113.5	2056394.86	1983767.79	2059469.88	1972284.98	3782034.15	1766595.63 	0.1	0.01
MIPAS 60 32.5 35611123.9	13382108.5	7156606.74	3248118.1	3109205.46	20676799.9	1178202.33 	0.576868 	8777973.25	0.24739676 	27.2665318	120 2026649.22	1469638.51	1473923.32	1532147.83	1459946.71	2902543.49	1236394.71 	1006725.68	0.0345750593
SCIAMACHY 60 32.5 -64070.9849	4505757.75	-1190070.64	735338.702	1392415.06	10087296.1	1752559.79 	0.521076 	-25925641.9	-0.877478763 	6.52807149	36 1525236.72	1478751.84	1172000.69	1296833.99	1340395.85	2601541.37	1644004.89 	1448513.49	0.035469107
reference 60 32.5 23122684.8	13745589.3	6923711.62	3642441.41	5085259.42	19882831.6	4264458.51 	0.352407 	0.0	0.0 	14.7835665	163 2813632.94	2223092.58	2135641.5	2243130.29	2161689.3	4208721.08	1942257.43 	0.1	0.01
MIPAS 60 37.5 35115470.4	11951001.7	5209177.84	3057467.09	5830755.38	21462954.3	1830890.12 	0.549105 	9457364.17	0.263770931 	24.7621183	122 2094133.28	1508958.68	1514861.84	1584574.8	1509040.41	2983628.2	1273939.79 	1013469.41	0.0364212505
SCIAMACHY 60 37.5 46376.7934	3611229.42	-3271520.47	-1341632.66	1614084.54	12914713.7	-141839.814 	0.605709 	-28372092.5	-0.897703805 	9.21718707	36 1467573.29	1288110.51	1131315.86	1226765.7	1250880.04	2357858.9	1425386.35 	1517815.14	0.0332247882
reference 60 37.5 22915646	11210290.1	3786817.2	2198629.46	6421177.9	22271513.4	3644105.68 	0.296265 	0.0	0.0 	11.5771839	165 3021355.36	2315034.41	2284383.75	2402479.61	2280716.66	4428895.31	2043754.34 	0.1	0.01
MIPAS 60 42.5 32296714.1	10290826.6	4090697.02	3063522.95	5168580.33	22661518.4	3529768.28 	0.515423 	9841536.84	0.278131013 	21.6276778	122 2248862.5	1620451.11	1626790.43	1701654.27	1620538.87	3204079.53	1368067.38 	1081402.1	0.0372888365
SCIAMACHY 60 42.5 1212319.03	3674526.66	-2684284.59	-2297711.41	2193302.62	12125863.3	-2151803.97 	0.451683 	-28212405.6	-0.91912093 	5.21717035	38 1788861.82	1657390.51	1377932.91	1422016.41	1502003.68	2852767.7	1819321.67 	1647029.15	0.0400785156
