 3547    2
  256.6550    9.96623E-26    1.09212E-17
  256.7701    9.94646E-26    1.09455E-17
  256.8851    9.92677E-26    1.09868E-17
  257.0001    9.90712E-26    1.10277E-17
  257.1151    9.88753E-26    1.10426E-17
  257.2300    9.86800E-26    1.10262E-17
  257.3448    9.84854E-26    1.09827E-17
  257.4597    9.82911E-26    1.09435E-17
  257.5745    9.80974E-26    1.09110E-17
  257.6893    9.79042E-26    1.08971E-17
  257.8040    9.77118E-26    1.08844E-17
  257.9187    9.75197E-26    1.08742E-17
  258.0334    9.73282E-26    1.08878E-17
  258.1479    9.71375E-26    1.09351E-17
  258.2625    9.69471E-26    1.10219E-17
  258.3771    9.67571E-26    1.11218E-17
  258.4916    9.65678E-26    1.12062E-17
  258.6061    9.63790E-26    1.12525E-17
  258.7205    9.61909E-26    1.12500E-17
  258.8349    9.60032E-26    1.12090E-17
  258.9493    9.58159E-26    1.11364E-17
  259.0636    9.56293E-26    1.10260E-17
  259.1779    9.54432E-26    1.08906E-17
  259.2921    9.52577E-26    1.07494E-17
  259.4063    9.50726E-26    1.06175E-17
  259.5205    9.48880E-26    1.05146E-17
  259.6347    9.47039E-26    1.04483E-17
  259.7488    9.45204E-26    1.04129E-17
  259.8629    9.43373E-26    1.04113E-17
  259.9769    9.41549E-26    1.04511E-17
  260.0909    9.39729E-26    1.05261E-17
  260.2049    9.37914E-26    1.06235E-17
  260.3188    9.36104E-26    1.07146E-17
  260.4327    9.34299E-26    1.07861E-17
  260.5466    9.32499E-26    1.08233E-17
  260.6604    9.30705E-26    1.08183E-17
  260.7742    9.28915E-26    1.07681E-17
  260.8880    9.27129E-26    1.06831E-17
  261.0017    9.25349E-26    1.05751E-17
  261.1154    9.23574E-26    1.04644E-17
  261.2291    9.21803E-26    1.03640E-17
  261.3427    9.20038E-26    1.02800E-17
  261.4563    9.18278E-26    1.02299E-17
  261.5699    9.16521E-26    1.02062E-17
  261.6834    9.14771E-26    1.01985E-17
  261.7969    9.13024E-26    1.02081E-17
  261.9104    9.11282E-26    1.02260E-17
  262.0238    9.09546E-26    1.02535E-17
  262.1372    9.07814E-26    1.02903E-17
  262.2505    9.06088E-26    1.03340E-17
  262.3639    9.04365E-26    1.03551E-17
  262.4772    9.02647E-26    1.03353E-17
  262.5905    9.00933E-26    1.02679E-17
  262.7037    8.99225E-26    1.01680E-17
  262.8169    8.97521E-26    1.00495E-17
  262.9301    8.95821E-26    9.93214E-18
  263.0432    8.94127E-26    9.82245E-18
  263.1563    8.92437E-26    9.74618E-18
  263.2693    8.90753E-26    9.69116E-18
  263.3824    8.89071E-26    9.64491E-18
  263.4954    8.87395E-26    9.62350E-18
  263.6084    8.85723E-26    9.63045E-18
  263.7213    8.84056E-26    9.65875E-18
  263.8343    8.82392E-26    9.69623E-18
  263.9471    8.80734E-26    9.73516E-18
  264.0600    8.79080E-26    9.76295E-18
  264.1728    8.77431E-26    9.78651E-18
  264.2856    8.75785E-26    9.79647E-18
  264.3984    8.74143E-26    9.79471E-18
  264.5111    8.72507E-26    9.75856E-18
  264.6238    8.70875E-26    9.68263E-18
  264.7365    8.69247E-26    9.57377E-18
  264.8491    8.67624E-26    9.44984E-18
  264.9617    8.66005E-26    9.34950E-18
  265.0743    8.64390E-26    9.29847E-18
  265.1869    8.62779E-26    9.29840E-18
  265.2994    8.61173E-26    9.32297E-18
  265.4119    8.59571E-26    9.34544E-18
  265.5244    8.57972E-26    9.34728E-18
  265.6368    8.56379E-26    9.33552E-18
  265.7492    8.54790E-26    9.30284E-18
  265.8615    8.53205E-26    9.25116E-18
  265.9739    8.51623E-26    9.18091E-18
  266.0862    8.50047E-26    9.10411E-18
  266.1985    8.48474E-26    9.04577E-18
  266.3108    8.46905E-26    9.00529E-18
  266.4230    8.45340E-26    8.96019E-18
  266.5352    8.43780E-26    8.90241E-18
  266.6474    8.42223E-26    8.82283E-18
  266.7595    8.40672E-26    8.71707E-18
  266.8716    8.39123E-26    8.61251E-18
  266.9837    8.37579E-26    8.53726E-18
  267.0958    8.36038E-26    8.51075E-18
  267.2078    8.34502E-26    8.53904E-18
  267.3198    8.32970E-26    8.60115E-18
  267.4318    8.31442E-26    8.65688E-18
  267.5437    8.29918E-26    8.67575E-18
  267.6557    8.28396E-26    8.65778E-18
  267.7675    8.26881E-26    8.60766E-18
  267.8794    8.25368E-26    8.54048E-18
  267.9913    8.23859E-26    8.46118E-18
